Series_reference,Period
BDCQ.SEA1AT,2011.12
BDCQ.SEA1AT,2012.03
BDCQ.SEA1AT,2012.06
BDCQ.SEA1AT,2012.09
BDCQ.SEA1AT,2012.12
BDCQ.SEA1AT,2013.03
BDCQ.SEA1AT,2013.06
BDCQ.SEA1AT,2013.09
BDCQ.SEA1AT,2013.12
BDCQ.SEA1AT,2014.03
BDCQ.SEA1AT,2014.06
BDCQ.SEA1AT,2014.09
BDCQ.SEA1AT,2014.12
BDCQ.SEA1AT,2015.03
BDCQ.SEA1AT,2015.06
BDCQ.SEA1AT,2015.09
BDCQ.SEA1AT,2015.12
BDCQ.SEA1AT,2016.03
BDCQ.SEA1AT,2016.06
BDCQ.SEA1AT,2016.09
BDCQ.SEA1AT,2016.12
BDCQ.SEA1AT,2017.03
BDCQ.SEA1AT,2017.06
BDCQ.SEA1AT,2017.09
BDCQ.SEA1AT,2017.12
BDCQ.SEA1AT,2018.03
BDCQ.SEA1AT,2018.06
BDCQ.SEA1AT,2018.09
BDCQ.SEA1AT,2018.12
BDCQ.SEA1AT,2019.03
BDCQ.SEA1AT,2019.06
BDCQ.SEA1AT,2019.09
BDCQ.SEA1AT,2019.12
BDCQ.SEA1AT,2020.03
BDCQ.SEA1AT,2020.06
BDCQ.SEA1AT,2020.09
BDCQ.SEA1AT,2020.12
BDCQ.SEA1AT,2021.03
BDCQ.SEA1AT,2021.06
BDCQ.SEA1AT,2021.09
BDCQ.SEA1AT,2021.12
BDCQ.SEA1AT,2022.03
BDCQ.SEA1AT,2022.06
BDCQ.SEA1AT,2022.09
BDCQ.SEA1AT,2022.12
BDCQ.SEA1AT,2023.03
BDCQ.SEA1AT,2023.06
BDCQ.SEA1BA,2011.06
BDCQ.SEA1BA,2011.09
BDCQ.SEA1BA,2011.12
BDCQ.SEA1BA,2012.03
BDCQ.SEA1BA,2012.06
BDCQ.SEA1BA,2012.09
BDCQ.SEA1BA,2012.12
BDCQ.SEA1BA,2013.03
BDCQ.SEA1BA,2013.06
BDCQ.SEA1BA,2013.09
BDCQ.SEA1BA,2013.12
BDCQ.SEA1BA,2014.03
BDCQ.SEA1BA,2014.06
BDCQ.SEA1BA,2014.09
BDCQ.SEA1BA,2014.12
BDCQ.SEA1BA,2015.03
BDCQ.SEA1BA,2015.06
BDCQ.SEA1BA,2015.09
BDCQ.SEA1BA,2015.12
BDCQ.SEA1BA,2016.03
BDCQ.SEA1BA,2016.06
BDCQ.SEA1BA,2016.09
BDCQ.SEA1BA,2016.12
BDCQ.SEA1BA,2017.03
BDCQ.SEA1BA,2017.06
BDCQ.SEA1BA,2017.09
BDCQ.SEA1BA,2017.12
BDCQ.SEA1BA,2018.03
BDCQ.SEA1BA,2018.06
BDCQ.SEA1BA,2018.09
BDCQ.SEA1BA,2018.12
BDCQ.SEA1BA,2019.03
BDCQ.SEA1BA,2019.06
BDCQ.SEA1BA,2019.09
BDCQ.SEA1BA,2019.12
BDCQ.SEA1BA,2020.03
BDCQ.SEA1BA,2020.06
BDCQ.SEA1BA,2020.09
BDCQ.SEA1BA,2020.12
BDCQ.SEA1BA,2021.03
BDCQ.SEA1BA,2021.06
BDCQ.SEA1BA,2021.09
BDCQ.SEA1BA,2021.12
BDCQ.SEA1BA,2022.03
BDCQ.SEA1BA,2022.06
BDCQ.SEA1BA,2022.09
BDCQ.SEA1BA,2022.12
BDCQ.SEA1BA,2023.03
BDCQ.SEA1BA,2023.06
BDCQ.SEA1BS,2011.06
BDCQ.SEA1BS,2011.09
BDCQ.SEA1BS,2011.12
BDCQ.SEA1BS,2012.03
BDCQ.SEA1BS,2012.06
BDCQ.SEA1BS,2012.09
BDCQ.SEA1BS,2012.12
BDCQ.SEA1BS,2013.03
BDCQ.SEA1BS,2013.06
BDCQ.SEA1BS,2013.09
BDCQ.SEA1BS,2013.12
BDCQ.SEA1BS,2014.03
BDCQ.SEA1BS,2014.06
BDCQ.SEA1BS,2014.09
BDCQ.SEA1BS,2014.12
BDCQ.SEA1BS,2015.03
BDCQ.SEA1BS,2015.06
BDCQ.SEA1BS,2015.09
BDCQ.SEA1BS,2015.12
BDCQ.SEA1BS,2016.03
BDCQ.SEA1BS,2016.06
BDCQ.SEA1BS,2016.09
BDCQ.SEA1BS,2016.12
BDCQ.SEA1BS,2017.03
BDCQ.SEA1BS,2017.06
BDCQ.SEA1BS,2017.09
BDCQ.SEA1BS,2017.12
BDCQ.SEA1BS,2018.03
BDCQ.SEA1BS,2018.06
BDCQ.SEA1BS,2018.09
BDCQ.SEA1BS,2018.12
BDCQ.SEA1BS,2019.03
BDCQ.SEA1BS,2019.06
BDCQ.SEA1BS,2019.09
BDCQ.SEA1BS,2019.12
BDCQ.SEA1BS,2020.03
BDCQ.SEA1BS,2020.06
BDCQ.SEA1BS,2020.09
BDCQ.SEA1BS,2020.12
BDCQ.SEA1BS,2021.03
BDCQ.SEA1BS,2021.06
BDCQ.SEA1BS,2021.09
BDCQ.SEA1BS,2021.12
BDCQ.SEA1BS,2022.03
BDCQ.SEA1BS,2022.06
BDCQ.SEA1BS,2022.09
BDCQ.SEA1BS,2022.12
BDCQ.SEA1BS,2023.03
BDCQ.SEA1BS,2023.06
BDCQ.SEA1BT,2011.06
BDCQ.SEA1BT,2011.09
BDCQ.SEA1BT,2011.12
BDCQ.SEA1BT,2012.03
BDCQ.SEA1BT,2012.06
BDCQ.SEA1BT,2012.09
BDCQ.SEA1BT,2012.12
BDCQ.SEA1BT,2013.03
BDCQ.SEA1BT,2013.06
BDCQ.SEA1BT,2013.09
BDCQ.SEA1BT,2013.12
BDCQ.SEA1BT,2014.03
BDCQ.SEA1BT,2014.06
BDCQ.SEA1BT,2014.09
BDCQ.SEA1BT,2014.12
BDCQ.SEA1BT,2015.03
BDCQ.SEA1BT,2015.06
BDCQ.SEA1BT,2015.09
BDCQ.SEA1BT,2015.12
BDCQ.SEA1BT,2016.03
BDCQ.SEA1BT,2016.06
BDCQ.SEA1BT,2016.09
BDCQ.SEA1BT,2016.12
BDCQ.SEA1BT,2017.03
BDCQ.SEA1BT,2017.06
BDCQ.SEA1BT,2017.09
BDCQ.SEA1BT,2017.12
BDCQ.SEA1BT,2018.03
BDCQ.SEA1BT,2018.06
BDCQ.SEA1BT,2018.09
BDCQ.SEA1BT,2018.12
BDCQ.SEA1BT,2019.03
BDCQ.SEA1BT,2019.06
BDCQ.SEA1BT,2019.09
BDCQ.SEA1BT,2019.12
BDCQ.SEA1BT,2020.03
BDCQ.SEA1BT,2020.06
BDCQ.SEA1BT,2020.09
BDCQ.SEA1BT,2020.12
BDCQ.SEA1BT,2021.03
BDCQ.SEA1BT,2021.06
BDCQ.SEA1BT,2021.09
BDCQ.SEA1BT,2021.12
BDCQ.SEA1BT,2022.03
BDCQ.SEA1BT,2022.06
BDCQ.SEA1BT,2022.09
BDCQ.SEA1BT,2022.12
BDCQ.SEA1BT,2023.03
BDCQ.SEA1BT,2023.06
BDCQ.SEA1CA,2011.06
BDCQ.SEA1CA,2011.09
BDCQ.SEA1CA,2011.12
BDCQ.SEA1CA,2012.03
BDCQ.SEA1CA,2012.06
BDCQ.SEA1CA,2012.09
BDCQ.SEA1CA,2012.12
BDCQ.SEA1CA,2013.03
BDCQ.SEA1CA,2013.06
BDCQ.SEA1CA,2013.09
BDCQ.SEA1CA,2013.12
BDCQ.SEA1CA,2014.03
BDCQ.SEA1CA,2014.06
BDCQ.SEA1CA,2014.09
BDCQ.SEA1CA,2014.12
BDCQ.SEA1CA,2015.03
BDCQ.SEA1CA,2015.06
BDCQ.SEA1CA,2015.09
BDCQ.SEA1CA,2015.12
BDCQ.SEA1CA,2016.03
BDCQ.SEA1CA,2016.06
BDCQ.SEA1CA,2016.09
BDCQ.SEA1CA,2016.12
BDCQ.SEA1CA,2017.03
BDCQ.SEA1CA,2017.06
BDCQ.SEA1CA,2017.09
BDCQ.SEA1CA,2017.12
BDCQ.SEA1CA,2018.03
BDCQ.SEA1CA,2018.06
BDCQ.SEA1CA,2018.09
BDCQ.SEA1CA,2018.12
BDCQ.SEA1CA,2019.03
BDCQ.SEA1CA,2019.06
BDCQ.SEA1CA,2019.09
BDCQ.SEA1CA,2019.12
BDCQ.SEA1CA,2020.03
BDCQ.SEA1CA,2020.06
BDCQ.SEA1CA,2020.09
BDCQ.SEA1CA,2020.12
BDCQ.SEA1CA,2021.03
BDCQ.SEA1CA,2021.06
BDCQ.SEA1CA,2021.09
BDCQ.SEA1CA,2021.12
BDCQ.SEA1CA,2022.03
BDCQ.SEA1CA,2022.06
BDCQ.SEA1CA,2022.09
BDCQ.SEA1CA,2022.12
BDCQ.SEA1CA,2023.03
BDCQ.SEA1CA,2023.06
BDCQ.SEA1CS,2011.06
BDCQ.SEA1CS,2011.09
BDCQ.SEA1CS,2011.12
BDCQ.SEA1CS,2012.03
BDCQ.SEA1CS,2012.06
BDCQ.SEA1CS,2012.09
BDCQ.SEA1CS,2012.12
BDCQ.SEA1CS,2013.03
BDCQ.SEA1CS,2013.06
BDCQ.SEA1CS,2013.09
BDCQ.SEA1CS,2013.12
BDCQ.SEA1CS,2014.03
BDCQ.SEA1CS,2014.06
BDCQ.SEA1CS,2014.09
BDCQ.SEA1CS,2014.12
BDCQ.SEA1CS,2015.03
BDCQ.SEA1CS,2015.06
BDCQ.SEA1CS,2015.09
BDCQ.SEA1CS,2015.12
BDCQ.SEA1CS,2016.03
BDCQ.SEA1CS,2016.06
BDCQ.SEA1CS,2016.09
BDCQ.SEA1CS,2016.12
BDCQ.SEA1CS,2017.03
BDCQ.SEA1CS,2017.06
BDCQ.SEA1CS,2017.09
BDCQ.SEA1CS,2017.12
BDCQ.SEA1CS,2018.03
BDCQ.SEA1CS,2018.06
BDCQ.SEA1CS,2018.09
BDCQ.SEA1CS,2018.12
BDCQ.SEA1CS,2019.03
BDCQ.SEA1CS,2019.06
BDCQ.SEA1CS,2019.09
BDCQ.SEA1CS,2019.12
BDCQ.SEA1CS,2020.03
BDCQ.SEA1CS,2020.06
BDCQ.SEA1CS,2020.09
BDCQ.SEA1CS,2020.12
BDCQ.SEA1CS,2021.03
BDCQ.SEA1CS,2021.06
BDCQ.SEA1CS,2021.09
BDCQ.SEA1CS,2021.12
BDCQ.SEA1CS,2022.03
BDCQ.SEA1CS,2022.06
BDCQ.SEA1CS,2022.09
BDCQ.SEA1CS,2022.12
BDCQ.SEA1CS,2023.03
BDCQ.SEA1CS,2023.06
BDCQ.SEA1CT,2011.06
BDCQ.SEA1CT,2011.09
BDCQ.SEA1CT,2011.12
BDCQ.SEA1CT,2012.03
BDCQ.SEA1CT,2012.06
BDCQ.SEA1CT,2012.09
BDCQ.SEA1CT,2012.12
BDCQ.SEA1CT,2013.03
BDCQ.SEA1CT,2013.06
BDCQ.SEA1CT,2013.09
BDCQ.SEA1CT,2013.12
BDCQ.SEA1CT,2014.03
BDCQ.SEA1CT,2014.06
BDCQ.SEA1CT,2014.09
BDCQ.SEA1CT,2014.12
BDCQ.SEA1CT,2015.03
BDCQ.SEA1CT,2015.06
BDCQ.SEA1CT,2015.09
BDCQ.SEA1CT,2015.12
BDCQ.SEA1CT,2016.03
BDCQ.SEA1CT,2016.06
BDCQ.SEA1CT,2016.09
BDCQ.SEA1CT,2016.12
BDCQ.SEA1CT,2017.03
BDCQ.SEA1CT,2017.06
BDCQ.SEA1CT,2017.09
BDCQ.SEA1CT,2017.12
BDCQ.SEA1CT,2018.03
BDCQ.SEA1CT,2018.06
BDCQ.SEA1CT,2018.09
BDCQ.SEA1CT,2018.12
BDCQ.SEA1CT,2019.03
BDCQ.SEA1CT,2019.06
BDCQ.SEA1CT,2019.09
BDCQ.SEA1CT,2019.12
BDCQ.SEA1CT,2020.03
BDCQ.SEA1CT,2020.06
BDCQ.SEA1CT,2020.09
BDCQ.SEA1CT,2020.12
BDCQ.SEA1CT,2021.03
BDCQ.SEA1CT,2021.06
BDCQ.SEA1CT,2021.09
BDCQ.SEA1CT,2021.12
BDCQ.SEA1CT,2022.03
BDCQ.SEA1CT,2022.06
BDCQ.SEA1CT,2022.09
BDCQ.SEA1CT,2022.12
BDCQ.SEA1CT,2023.03
BDCQ.SEA1CT,2023.06
BDCQ.SEA1DA,2011.06
BDCQ.SEA1DA,2011.09
BDCQ.SEA1DA,2011.12
BDCQ.SEA1DA,2012.03
BDCQ.SEA1DA,2012.06
BDCQ.SEA1DA,2012.09
BDCQ.SEA1DA,2012.12
BDCQ.SEA1DA,2013.03
BDCQ.SEA1DA,2013.06
BDCQ.SEA1DA,2013.09
BDCQ.SEA1DA,2013.12
BDCQ.SEA1DA,2014.03
BDCQ.SEA1DA,2014.06
BDCQ.SEA1DA,2014.09
BDCQ.SEA1DA,2014.12
BDCQ.SEA1DA,2015.03
BDCQ.SEA1DA,2015.06
BDCQ.SEA1DA,2015.09
BDCQ.SEA1DA,2015.12
BDCQ.SEA1DA,2016.03
BDCQ.SEA1DA,2016.06
BDCQ.SEA1DA,2016.09
BDCQ.SEA1DA,2016.12
BDCQ.SEA1DA,2017.03
BDCQ.SEA1DA,2017.06
BDCQ.SEA1DA,2017.09
BDCQ.SEA1DA,2017.12
BDCQ.SEA1DA,2018.03
BDCQ.SEA1DA,2018.06
BDCQ.SEA1DA,2018.09
BDCQ.SEA1DA,2018.12
BDCQ.SEA1DA,2019.03
BDCQ.SEA1DA,2019.06
BDCQ.SEA1DA,2019.09
BDCQ.SEA1DA,2019.12
BDCQ.SEA1DA,2020.03
BDCQ.SEA1DA,2020.06
BDCQ.SEA1DA,2020.09
BDCQ.SEA1DA,2020.12
BDCQ.SEA1DA,2021.03
BDCQ.SEA1DA,2021.06
BDCQ.SEA1DA,2021.09
BDCQ.SEA1DA,2021.12
BDCQ.SEA1DA,2022.03
BDCQ.SEA1DA,2022.06
BDCQ.SEA1DA,2022.09
BDCQ.SEA1DA,2022.12
BDCQ.SEA1DA,2023.03
BDCQ.SEA1DA,2023.06
BDCQ.SEA1DS,2011.06
BDCQ.SEA1DS,2011.09
BDCQ.SEA1DS,2011.12
BDCQ.SEA1DS,2012.03
BDCQ.SEA1DS,2012.06
BDCQ.SEA1DS,2012.09
BDCQ.SEA1DS,2012.12
BDCQ.SEA1DS,2013.03
BDCQ.SEA1DS,2013.06
BDCQ.SEA1DS,2013.09
BDCQ.SEA1DS,2013.12
BDCQ.SEA1DS,2014.03
BDCQ.SEA1DS,2014.06
BDCQ.SEA1DS,2014.09
BDCQ.SEA1DS,2014.12
BDCQ.SEA1DS,2015.03
BDCQ.SEA1DS,2015.06
BDCQ.SEA1DS,2015.09
BDCQ.SEA1DS,2015.12
BDCQ.SEA1DS,2016.03
BDCQ.SEA1DS,2016.06
BDCQ.SEA1DS,2016.09
BDCQ.SEA1DS,2016.12
BDCQ.SEA1DS,2017.03
BDCQ.SEA1DS,2017.06
BDCQ.SEA1DS,2017.09
BDCQ.SEA1DS,2017.12
BDCQ.SEA1DS,2018.03
BDCQ.SEA1DS,2018.06
BDCQ.SEA1DS,2018.09
BDCQ.SEA1DS,2018.12
BDCQ.SEA1DS,2019.03
BDCQ.SEA1DS,2019.06
BDCQ.SEA1DS,2019.09
BDCQ.SEA1DS,2019.12
BDCQ.SEA1DS,2020.03
BDCQ.SEA1DS,2020.06
BDCQ.SEA1DS,2020.09
BDCQ.SEA1DS,2020.12
BDCQ.SEA1DS,2021.03
BDCQ.SEA1DS,2021.06
BDCQ.SEA1DS,2021.09
BDCQ.SEA1DS,2021.12
BDCQ.SEA1DS,2022.03
BDCQ.SEA1DS,2022.06
BDCQ.SEA1DS,2022.09
BDCQ.SEA1DS,2022.12
BDCQ.SEA1DS,2023.03
BDCQ.SEA1DS,2023.06
BDCQ.SEA1DT,2011.06
BDCQ.SEA1DT,2011.09
BDCQ.SEA1DT,2011.12
BDCQ.SEA1DT,2012.03
BDCQ.SEA1DT,2012.06
BDCQ.SEA1DT,2012.09
BDCQ.SEA1DT,2012.12
BDCQ.SEA1DT,2013.03
BDCQ.SEA1DT,2013.06
BDCQ.SEA1DT,2013.09
BDCQ.SEA1DT,2013.12
BDCQ.SEA1DT,2014.03
BDCQ.SEA1DT,2014.06
BDCQ.SEA1DT,2014.09
BDCQ.SEA1DT,2014.12
BDCQ.SEA1DT,2015.03
BDCQ.SEA1DT,2015.06
BDCQ.SEA1DT,2015.09
BDCQ.SEA1DT,2015.12
BDCQ.SEA1DT,2016.03
BDCQ.SEA1DT,2016.06
BDCQ.SEA1DT,2016.09
BDCQ.SEA1DT,2016.12
BDCQ.SEA1DT,2017.03
BDCQ.SEA1DT,2017.06
BDCQ.SEA1DT,2017.09
BDCQ.SEA1DT,2017.12
BDCQ.SEA1DT,2018.03
BDCQ.SEA1DT,2018.06
BDCQ.SEA1DT,2018.09
BDCQ.SEA1DT,2018.12
BDCQ.SEA1DT,2019.03
BDCQ.SEA1DT,2019.06
BDCQ.SEA1DT,2019.09
BDCQ.SEA1DT,2019.12
BDCQ.SEA1DT,2020.03
BDCQ.SEA1DT,2020.06
BDCQ.SEA1DT,2020.09
BDCQ.SEA1DT,2020.12
BDCQ.SEA1DT,2021.03
BDCQ.SEA1DT,2021.06
BDCQ.SEA1DT,2021.09
BDCQ.SEA1DT,2021.12
BDCQ.SEA1DT,2022.03
BDCQ.SEA1DT,2022.06
BDCQ.SEA1DT,2022.09
BDCQ.SEA1DT,2022.12
BDCQ.SEA1DT,2023.03
BDCQ.SEA1DT,2023.06
BDCQ.SEA1EA,2011.06
BDCQ.SEA1EA,2011.09
BDCQ.SEA1EA,2011.12
BDCQ.SEA1EA,2012.03
BDCQ.SEA1EA,2012.06
BDCQ.SEA1EA,2012.09
BDCQ.SEA1EA,2012.12
BDCQ.SEA1EA,2013.03
BDCQ.SEA1EA,2013.06
BDCQ.SEA1EA,2013.09
BDCQ.SEA1EA,2013.12
BDCQ.SEA1EA,2014.03
BDCQ.SEA1EA,2014.06
BDCQ.SEA1EA,2014.09
BDCQ.SEA1EA,2014.12
BDCQ.SEA1EA,2015.03
BDCQ.SEA1EA,2015.06
BDCQ.SEA1EA,2015.09
BDCQ.SEA1EA,2015.12
BDCQ.SEA1EA,2016.03
BDCQ.SEA1EA,2016.06
BDCQ.SEA1EA,2016.09
BDCQ.SEA1EA,2016.12
BDCQ.SEA1EA,2017.03
BDCQ.SEA1EA,2017.06
BDCQ.SEA1EA,2017.09
BDCQ.SEA1EA,2017.12
BDCQ.SEA1EA,2018.03
BDCQ.SEA1EA,2018.06
BDCQ.SEA1EA,2018.09
BDCQ.SEA1EA,2018.12
BDCQ.SEA1EA,2019.03
BDCQ.SEA1EA,2019.06
BDCQ.SEA1EA,2019.09
BDCQ.SEA1EA,2019.12
BDCQ.SEA1EA,2020.03
BDCQ.SEA1EA,2020.06
BDCQ.SEA1EA,2020.09
BDCQ.SEA1EA,2020.12
BDCQ.SEA1EA,2021.03
BDCQ.SEA1EA,2021.06
BDCQ.SEA1EA,2021.09
BDCQ.SEA1EA,2021.12
BDCQ.SEA1EA,2022.03
BDCQ.SEA1EA,2022.06
BDCQ.SEA1EA,2022.09
BDCQ.SEA1EA,2022.12
BDCQ.SEA1EA,2023.03
BDCQ.SEA1EA,2023.06
BDCQ.SEA1ES,2011.06
BDCQ.SEA1ES,2011.09
BDCQ.SEA1ES,2011.12
BDCQ.SEA1ES,2012.03
BDCQ.SEA1ES,2012.06
BDCQ.SEA1ES,2012.09
BDCQ.SEA1ES,2012.12
BDCQ.SEA1ES,2013.03
BDCQ.SEA1ES,2013.06
BDCQ.SEA1ES,2013.09
BDCQ.SEA1ES,2013.12
BDCQ.SEA1ES,2014.03
BDCQ.SEA1ES,2014.06
BDCQ.SEA1ES,2014.09
BDCQ.SEA1ES,2014.12
BDCQ.SEA1ES,2015.03
BDCQ.SEA1ES,2015.06
BDCQ.SEA1ES,2015.09
BDCQ.SEA1ES,2015.12
BDCQ.SEA1ES,2016.03
BDCQ.SEA1ES,2016.06
BDCQ.SEA1ES,2016.09
BDCQ.SEA1ES,2016.12
BDCQ.SEA1ES,2017.03
BDCQ.SEA1ES,2017.06
BDCQ.SEA1ES,2017.09
BDCQ.SEA1ES,2017.12
BDCQ.SEA1ES,2018.03
BDCQ.SEA1ES,2018.06
BDCQ.SEA1ES,2018.09
BDCQ.SEA1ES,2018.12
BDCQ.SEA1ES,2019.03
BDCQ.SEA1ES,2019.06
BDCQ.SEA1ES,2019.09
BDCQ.SEA1ES,2019.12
BDCQ.SEA1ES,2020.03
BDCQ.SEA1ES,2020.06
BDCQ.SEA1ES,2020.09
BDCQ.SEA1ES,2020.12
BDCQ.SEA1ES,2021.03
BDCQ.SEA1ES,2021.06
BDCQ.SEA1ES,2021.09
BDCQ.SEA1ES,2021.12
BDCQ.SEA1ES,2022.03
BDCQ.SEA1ES,2022.06
BDCQ.SEA1ES,2022.09
BDCQ.SEA1ES,2022.12
BDCQ.SEA1ES,2023.03
BDCQ.SEA1ES,2023.06
BDCQ.SEA1ET,2011.06
BDCQ.SEA1ET,2011.09
BDCQ.SEA1ET,2011.12
BDCQ.SEA1ET,2012.03
BDCQ.SEA1ET,2012.06
BDCQ.SEA1ET,2012.09
BDCQ.SEA1ET,2012.12
BDCQ.SEA1ET,2013.03
BDCQ.SEA1ET,2013.06
BDCQ.SEA1ET,2013.09
BDCQ.SEA1ET,2013.12
BDCQ.SEA1ET,2014.03
BDCQ.SEA1ET,2014.06
BDCQ.SEA1ET,2014.09
BDCQ.SEA1ET,2014.12
BDCQ.SEA1ET,2015.03
BDCQ.SEA1ET,2015.06
BDCQ.SEA1ET,2015.09
BDCQ.SEA1ET,2015.12
BDCQ.SEA1ET,2016.03
BDCQ.SEA1ET,2016.06
BDCQ.SEA1ET,2016.09
BDCQ.SEA1ET,2016.12
BDCQ.SEA1ET,2017.03
BDCQ.SEA1ET,2017.06
BDCQ.SEA1ET,2017.09
BDCQ.SEA1ET,2017.12
BDCQ.SEA1ET,2018.03
BDCQ.SEA1ET,2018.06
BDCQ.SEA1ET,2018.09
BDCQ.SEA1ET,2018.12
BDCQ.SEA1ET,2019.03
BDCQ.SEA1ET,2019.06
BDCQ.SEA1ET,2019.09
BDCQ.SEA1ET,2019.12
BDCQ.SEA1ET,2020.03
BDCQ.SEA1ET,2020.06
BDCQ.SEA1ET,2020.09
BDCQ.SEA1ET,2020.12
BDCQ.SEA1ET,2021.03
BDCQ.SEA1ET,2021.06
BDCQ.SEA1ET,2021.09
BDCQ.SEA1ET,2021.12
BDCQ.SEA1ET,2022.03
BDCQ.SEA1ET,2022.06
BDCQ.SEA1ET,2022.09
BDCQ.SEA1ET,2022.12
BDCQ.SEA1ET,2023.03
BDCQ.SEA1ET,2023.06
BDCQ.SEA1FA,2011.06
BDCQ.SEA1FA,2011.09
BDCQ.SEA1FA,2011.12
BDCQ.SEA1FA,2012.03
BDCQ.SEA1FA,2012.06
BDCQ.SEA1FA,2012.09
BDCQ.SEA1FA,2012.12
BDCQ.SEA1FA,2013.03
BDCQ.SEA1FA,2013.06
BDCQ.SEA1FA,2013.09
BDCQ.SEA1FA,2013.12
BDCQ.SEA1FA,2014.03
BDCQ.SEA1FA,2014.06
BDCQ.SEA1FA,2014.09
BDCQ.SEA1FA,2014.12
BDCQ.SEA1FA,2015.03
BDCQ.SEA1FA,2015.06
BDCQ.SEA1FA,2015.09
BDCQ.SEA1FA,2015.12
BDCQ.SEA1FA,2016.03
BDCQ.SEA1FA,2016.06
BDCQ.SEA1FA,2016.09
BDCQ.SEA1FA,2016.12
BDCQ.SEA1FA,2017.03
BDCQ.SEA1FA,2017.06
BDCQ.SEA1FA,2017.09
BDCQ.SEA1FA,2017.12
BDCQ.SEA1FA,2018.03
BDCQ.SEA1FA,2018.06
BDCQ.SEA1FA,2018.09
BDCQ.SEA1FA,2018.12
BDCQ.SEA1FA,2019.03
BDCQ.SEA1FA,2019.06
BDCQ.SEA1FA,2019.09
BDCQ.SEA1FA,2019.12
BDCQ.SEA1FA,2020.03
BDCQ.SEA1FA,2020.06
BDCQ.SEA1FA,2020.09
BDCQ.SEA1FA,2020.12
BDCQ.SEA1FA,2021.03
BDCQ.SEA1FA,2021.06
